lecture_number,lecture_title,video_number,video_title,original_slide_start,original_slide_end,estimated_minutes,logic_score,time_score,boundary_score,continuity_score,title_score,quiz_alignment_score,overall_score,decision,coherent_topic_review,boundary_review,duration_review,continuity_review,title_review,learning_objectives_review,recap_quiz_review
1,CNN,1,From MLPs to Convolution,1,21,22.9,4,5,5,5,4,5,4.67,approved_for_pptx,Segment has several related concept groups but still supports one coherent learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title is broadly aligned with the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
1,CNN,2,"Filters, Padding, and Kernel Mechanics",22,33,12.2,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,No strong internal concept boundary is crossed; continuity is preserved.,Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
1,CNN,3,Multichannel Convolution and Feature Maps,34,41,8.0,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,No strong internal concept boundary is crossed; continuity is preserved.,Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
1,CNN,4,"Pooling, Inductive Bias, and AlexNet",42,52,10.7,4,2,5,5,5,5,4.33,approved_for_pptx,Segment has several related concept groups but still supports one coherent learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
2,Metrics,1,Confusion Matrices and Core Classification Metrics,1,14,12.8,5,2,5,5,4,5,4.33,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title is broadly aligned with the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
2,Metrics,2,"Threshold Tradeoffs, ROC Curves, and Metric Selection",15,32,22.8,4,5,5,5,5,5,4.83,approved_for_pptx,Segment has several related concept groups but still supports one coherent learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
3,Loss Function,1,Loss Functions and Gradient Descent,1,16,22.5,5,5,5,5,5,4,4.83,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,"Recap and quiz are aligned, though one could be made more specific."
3,Loss Function,2,Linear Classifier Scores,17,23,10.5,5,2,5,5,5,5,4.50,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is outside the preferred range and should be reviewed.,No strong internal concept boundary is crossed; continuity is preserved.,Video title uses terms that match the segment content.,Learning objectives are appropriate: 3 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
3,Loss Function,3,Softmax and Cross-Entropy,24,38,23.3,5,5,5,5,5,5,5.00,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is in the preferred 22-28 minute core teaching range.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
4,Overfit & Underfit,1,"Generalization, Validation, and Regularized Loss",1,18,18.6,5,4,5,5,5,5,4.83,approved_for_pptx,Segment has a focused concept set with one clear learning goal.,Segment starts at a concept boundary and ends at a strong logical boundary.,Duration is close to the 30-minute target and acceptable for online pacing.,"Internal boundaries are crossed only to keep a larger derivation, example, architecture, or comparison together.",Video title uses terms that match the segment content.,Learning objectives are appropriate: 4 objectives support a focused online module.,Recap and quiz both directly target the segment concepts.
