overall_status,special_case,output_pptx,generated_pptx_path,file_exists,can_open,open_error,slide_count,expected_slide_count,slide_count_reasonable,has_title_slide,title_slide_text,has_recap_slide,has_quiz_checkpoint_slide,speaker_notes_expected,speaker_notes_slide_count,speaker_notes_ok,speaker_notes_have_generated_marker,used_temporary_repair,recorded_in_segment_csv,duplicate_output_filename,segment_csv,segment_csv_row,lecture_number,lecture_title,video_number,video_title,review_status,original_pptx,original_file_exists,original_unmodified_during_audit
pass,lecture_0_manual,0/lecture_00_video_01_Introduction.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\0\lecture_00_video_01_Introduction.pptx,yes,yes,,21,,yes,yes,Deep LearningFrom data to intelligent systems,not_required,not_required,not_required,3,not_required,not_required,no,not_required,no,,,0,Intro,1,Introduction,special_case_already_30min,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\0 - Intro.pptx,yes,yes
pass,,1/lecture_01_video_01_from_mlps_to_convolution.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\1\lecture_01_video_01_from_mlps_to_convolution.pptx,yes,yes,,24,24,yes,yes,From MLPs to Convolution,yes,yes,yes,24,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\1_video_segments.csv,2,1,CNN,1,From MLPs to Convolution,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\1 - CNN.pptx,yes,yes
pass,,1/lecture_01_video_02_filters_padding_and_kernel_mechanics.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\1\lecture_01_video_02_filters_padding_and_kernel_mechanics.pptx,yes,yes,,15,15,yes,yes,"Filters, Padding, and Kernel Mechanics",yes,yes,yes,15,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\1_video_segments.csv,3,1,CNN,2,"Filters, Padding, and Kernel Mechanics",approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\1 - CNN.pptx,yes,yes
pass,,1/lecture_01_video_03_multichannel_convolution_and_feature_maps.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\1\lecture_01_video_03_multichannel_convolution_and_feature_maps.pptx,yes,yes,,11,11,yes,yes,Multichannel Convolution and Feature Maps,yes,yes,yes,11,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\1_video_segments.csv,4,1,CNN,3,Multichannel Convolution and Feature Maps,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\1 - CNN.pptx,yes,yes
pass,,1/lecture_01_video_04_pooling_inductive_bias_and_alexnet.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\1\lecture_01_video_04_pooling_inductive_bias_and_alexnet.pptx,yes,yes,,14,14,yes,yes,"Pooling, Inductive Bias, and AlexNet",yes,yes,yes,14,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\1_video_segments.csv,5,1,CNN,4,"Pooling, Inductive Bias, and AlexNet",approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\1 - CNN.pptx,yes,yes
pass,,2/lecture_02_video_01_confusion_matrices_and_core_classification_metrics.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\2\lecture_02_video_01_confusion_matrices_and_core_classification_metrics.pptx,yes,yes,,17,17,yes,yes,Confusion Matrices and Core Classification Metrics,yes,yes,yes,17,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\2_video_segments.csv,2,2,Metrics,1,Confusion Matrices and Core Classification Metrics,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\2  - Metrics.pptx,yes,yes
pass,,2/lecture_02_video_02_threshold_tradeoffs_roc_curves_and_metric_selection.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\2\lecture_02_video_02_threshold_tradeoffs_roc_curves_and_metric_selection.pptx,yes,yes,,21,21,yes,yes,"Threshold Tradeoffs, ROC Curves, and Metric Selection",yes,yes,yes,21,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\2_video_segments.csv,3,2,Metrics,2,"Threshold Tradeoffs, ROC Curves, and Metric Selection",approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\2  - Metrics.pptx,yes,yes
pass,,3/lecture_03_video_01_loss_functions_and_gradient_descent.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\3\lecture_03_video_01_loss_functions_and_gradient_descent.pptx,yes,yes,,19,19,yes,yes,Loss Functions and Gradient Descent,yes,yes,yes,19,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\3_video_segments.csv,2,3,Loss Function,1,Loss Functions and Gradient Descent,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\3  - Loss Function.pptx,yes,yes
pass,,3/lecture_03_video_02_linear_classifier_scores.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\3\lecture_03_video_02_linear_classifier_scores.pptx,yes,yes,,10,10,yes,yes,Linear Classifier Scores,yes,yes,yes,10,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\3_video_segments.csv,3,3,Loss Function,2,Linear Classifier Scores,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\3  - Loss Function.pptx,yes,yes
pass,,3/lecture_03_video_03_softmax_and_cross_entropy.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\3\lecture_03_video_03_softmax_and_cross_entropy.pptx,yes,yes,,18,18,yes,yes,Softmax and Cross-Entropy,yes,yes,yes,18,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\3_video_segments.csv,4,3,Loss Function,3,Softmax and Cross-Entropy,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\3  - Loss Function.pptx,yes,yes
