"lecture_number","lecture_title","concept_start_slide","concept_end_slide","concept_group","concept_type","boundary_after_end_slide","boundary_strength","next_concept","why_strong_boundary_is_natural"
"1","CNN","1","1","CNN lecture framing","conceptual unit","yes","medium","MLP refresher",""
"1","CNN","2","7","MLP and neural network refresher","conceptual unit","yes","strong","Image data motivation","Slides 2-7 complete the conceptual unit 'MLP and neural network refresher' before the lecture shifts to 'Image data motivation'. Stopping after slide 7 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","8","13","Image datasets and CNN motivation","model architecture explanation","yes","strong","Convolution operation","Slides 8-13 complete the model architecture explanation 'Image datasets and CNN motivation' before the lecture shifts to 'Convolution operation'. Stopping after slide 13 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","14","21","Convolution fundamentals","conceptual unit","yes","strong","Classical image filters","Slides 14-21 complete the conceptual unit 'Convolution fundamentals' before the lecture shifts to 'Classical image filters'. Stopping after slide 21 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","22","33","Classical filters padding and kernel mechanics","conceptual unit","yes","strong","Multichannel convolution","Slides 22-33 complete the conceptual unit 'Classical filters padding and kernel mechanics' before the lecture shifts to 'Multichannel convolution'. Stopping after slide 33 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","34","41","Multichannel and multilayer convolution","conceptual unit","yes","strong","CNN inductive bias","Slides 34-41 complete the conceptual unit 'Multichannel and multilayer convolution' before the lecture shifts to 'CNN inductive bias'. Stopping after slide 41 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","42","45","CNN inductive bias and hierarchy","comparison or tradeoff","yes","medium","Pooling",""
"1","CNN","46","48","Pooling and spatial reduction","comparison or tradeoff","yes","strong","AlexNet architecture","Slides 46-48 complete the comparison or tradeoff 'Pooling and spatial reduction' before the lecture shifts to 'AlexNet architecture'. Stopping after slide 48 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","49","51","AlexNet architecture and implementation","model architecture explanation","yes","strong","CNN summary","Slides 49-51 complete the model architecture explanation 'AlexNet architecture and implementation' before the lecture shifts to 'CNN summary'. Stopping after slide 51 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","52","52","CNN summary","summary or closure","yes","strong","Next lecture on evaluation metrics","Slides 52-52 close the lecture by completing the summary or closure 'CNN summary'. There is no required follow-on concept, so this is a clean video ending and a good place for recap or quiz."
"2","Metrics","1","2","Evaluation motivation","comparison or tradeoff","yes","strong","Binary decision framing","Slides 1-2 complete the comparison or tradeoff 'Evaluation motivation' before the lecture shifts to 'Binary decision framing'. Stopping after slide 2 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"2","Metrics","3","6","Binary decisions and confusion matrix","conceptual unit","yes","strong","Basic metrics","Slides 3-6 complete the conceptual unit 'Binary decisions and confusion matrix' before the lecture shifts to 'Basic metrics'. Stopping after slide 6 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"2","Metrics","7","14","Accuracy precision recall specificity and F1","conceptual unit","yes","strong","Metric tradeoff discussions","Slides 7-14 complete the conceptual unit 'Accuracy precision recall specificity and F1' before the lecture shifts to 'Metric tradeoff discussions'. Stopping after slide 14 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"2","Metrics","15","21","Threshold and metric tradeoff discussions","comparison or tradeoff","yes","strong","ROC and AUC","Slides 15-21 complete the comparison or tradeoff 'Threshold and metric tradeoff discussions' before the lecture shifts to 'ROC and AUC'. Stopping after slide 21 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"2","Metrics","22","27","ROC curves and AUC","comparison or tradeoff","yes","strong","AUC interpretation exercises","Slides 22-27 complete the comparison or tradeoff 'ROC curves and AUC' before the lecture shifts to 'AUC interpretation exercises'. Stopping after slide 27 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"2","Metrics","28","30","AUC interpretation exercises","comparison or tradeoff","yes","medium","Metric selection summary",""
"2","Metrics","31","32","Metric selection summary","comparison or tradeoff","yes","strong","Next lecture on loss functions","Slides 31-32 close the lecture by completing the comparison or tradeoff 'Metric selection summary'. There is no required follow-on concept, so this is a clean video ending and a good place for recap or quiz."
"3","Loss Function","1","4","Score functions loss functions and activations","mathematical derivation or procedure","yes","strong","Gradient descent optimization","Slides 1-4 complete the mathematical derivation or procedure 'Score functions loss functions and activations' before the lecture shifts to 'Gradient descent optimization'. Stopping after slide 4 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
