lecture_number,lecture_title,video_number,video_title,script_path,slide_count,target_recording_minutes,declared_slide_minutes_total,estimated_read_aloud_words,estimated_minutes_at_130_wpm,estimated_minutes_at_140_wpm,estimated_minutes_at_150_wpm,timing_assessment,is_truly_word_for_word_score_1_5,natural_read_aloud_score_1_5,slide_content_clarity_score_1_5,avoids_bullet_point_sound_score_1_5,technical_terms_score_1_5,transition_smoothness_score_1_5,under_explained_score_1_5,overall_score,review_decision,generic_phrase_count,meta_instruction_phrase_count,repetitive_transition_count,missing_narration_slides,slides_may_need_more_visual_explanation,under_explained_slides,slides_where_script_may_be_too_long,technical_accuracy_risk_slides,review_notes
0,Intro,1,What Is Deep Learning and Why Now?,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\0\0_1_What_Is_Deep_Learning_and_Why_Now_exact_script.md,21,31.4,31.4,2800,21.5,20.0,18.7,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,"5: When data and model size grow, neural networks keep improving.; 7: AlexNet 8 layers; 9: A: Algorithms - Better Neural Network Architectures; 13: What is a neural network?; 14: What is a neural network?; 18: Example 4: Image Captioning; 19: Deep Learning Learns Many Types of Input-Output Mappings",19: Deep Learning Learns Many Types of Input-Output Mappings (46 words); 19: Deep Learning Learns Many Types of Input-Output Mappings (visual explanation short),,,2 potentially under-explained slide(s)
1,CNN,1,From MLPs to Convolution,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\1\1_1_From_MLPs_to_Convolution_exact_script.md,24,23.4,23.4,3504,27.0,25.0,23.4,reasonable_for_read_aloud,5,5,4,5,5,5,4,4.75,acceptable_with_minor_polish,0,0,0,,2: ECE491/591 Deep Learning Convolutional Neural Networks (CNNs); 3: Basic Neural Networks; 4: Multilayer Perceptron (MLP) Architecture; 5: Neuron; 6: Activation Functions: Examples; 7: Neural Network Training Process; 8: Neural Network Playground; 10: ImageNet Dataset; 11: Why Not Just Use an MLP for Images?; 12: ImageNet Large Scale Visual Recognition Challenge (ILSVRC); 13: AlexNet on Two GPUs; 14: AlexNet on One GPU; 15: Convolutional Neural Networks (CNNs); 16: Convolution = Local Dot Product; 17: Matrix Inner Product in Convolution; 18: Convolution as a Sliding Window Operation; 19: Step-by-Step Sliding of the Convolution Filter: Step 1; 20: Step-by-Step Sliding of the Convolution Filter: Step 2; 21: Step-by-Step Sliding of the Convolution Filter: Step 9; 22: Convolution Output Size,3: Basic Neural Networks (69 words); 5: Neuron (64 words); 5: Neuron (visual explanation short); 14: AlexNet on One GPU (66 words); 15: Convolutional Neural Networks (CNNs) (69 words),,,5 potentially under-explained slide(s)
1,CNN,2,"Filters, Padding, and Kernel Mechanics",H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\1\1_2_Filters_Padding_and_Kernel_Mechanics_exact_script.md,15,13.2,13.2,2426,18.7,17.3,16.2,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,"2: Convolving ""filters"" is not a new idea; 3: Edge Detection Filters: Sobel X, Sobel Y, and Laplacian; 4: Convolution; 5: Convolution with a 3x3 kernel; 6: Convolution with a 3x3 kernel: Step 1; 7: Convolution with a 3x3 kernel: Animation; 8: Convolution without Padding; 9: Convolution without Padding: Problem; 10: Convolution with padding = 1; 11: Convolution with padding = 2; 12: Convolution Animation with one Kernel; 13: Convolution Animation with Two 4x4 Kernels",4: Convolution (67 words); 8: Convolution without Padding (67 words); 9: Convolution without Padding: Problem (66 words),,,3 potentially under-explained slide(s)
1,CNN,3,Multichannel Convolution and Feature Maps,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\1\1_3_Multichannel_Convolution_and_Feature_Maps_exact_script.md,11,8.7,8.7,1838,14.1,13.1,12.3,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,2: Understanding the Input Tensor; 3: Applying a 5x5x3 Filter; 4: Computing One Convolution Output Value; 5: Generating a Single Feature Map; 6: Multiple Filters Produce Multiple Feature Maps; 7: Convolution with Six Kernels; 8: Two Layers of Convolution; 9: Multiple Layers of Convolution,2: Understanding the Input Tensor (69 words),,,1 potentially under-explained slide(s)
1,CNN,4,"Pooling, Inductive Bias, and AlexNet",H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\1\1_4_Pooling_Inductive_Bias_and_AlexNet_exact_script.md,14,11.8,11.8,1846,14.2,13.2,12.3,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,4: Hierarchical Feature Learning in CNNs; 5: 1x1 Convolution; 6: Pooling Layer; 7: Max pooling: Another Example; 8: Pooling: Max vs Average; 9: AlexNet Architecture; 10: AlexNet Architecture: A different view; 11: AlexNet Keras Implementation; 12: Summary: Convolutional Neural Networks,4: Hierarchical Feature Learning in CNNs (67 words); 8: Pooling: Max vs Average (58 words); 8: Pooling: Max vs Average (visual explanation short),,,3 potentially under-explained slide(s)
10,VIT,1,Vision Transformer Core Architecture,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\10\10_1_Vision_Transformer_Core_Architecture_exact_script.md,26,26.6,26.6,3879,29.8,27.7,25.9,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,2: Transformers for Vision From ViT to Multimodal Vision Models; 3: Transformers for Vision; 4: First Vision Transformer Paper; 5: Core Idea of ViT: Turn an Image into a Sequence of Tokens; 6: VIT Architecture Overview; 7: Inductive Bias; 8: Vision Transformer Architecture Overview; 9: Standard Transformer on Patches; 10: Patch Tokens as the Input Sequence; 11: Patch Embedding via Linear Projection; 12: Adding Positional Embeddings to Patch Tokens; 13: Applying a Standard Transformer Encoder; 14: Adding the Classification Token [CLS]; 15: From Transformer Outputs to Class Prediction; 16: ViT as a Pure Transformer for Vision; 17: ViT Is Not Completely Convolution-Free; 18: ViT Is Not Completely Convolution-Free; 19: Token Count and Attention Cost in ViT; 20: Memory Cost of Full Attention in ViT; 21: Pre-train ViT on large datasets and Fine-tuning on downstream tasks; 22: ViT: Fine-tuning and Higher Resolution; 23: Labeled Classification Datasets; 24: Image Classification Accuracies,,,,Looks like direct read-aloud narration with only minor polish needed.
10,VIT,2,Data-Efficient Vision Transformers,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\10\10_2_Data_Efficient_Vision_Transformers_exact_script.md,18,16.0,16.0,2600,20.0,18.6,17.3,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,"2: Data-efficient Image Transformer (DeiT); 3: Improving ViT: Distillation; 4: Knowledge Distillation: Teacher-Student Training; 6: Why Distillation Helps the Student Model; 7: DeiT: Distilling a CNN Teacher into a ViT; 8: DeiT Architecture: Adding a Distillation Token; 9: DeiT Improves ImageNet Accuracy; 10: Longer Training and Higher Resolution Improve DeiT; 11: Why Vanilla ViT Tokenization Is Too Crude; 12: T2T-ViT: Progressive Tokenization; 13: Soft Split = Overlapping Tokenization; 14: Pyramid Vision Transformer (PVT); 15: Pyramid Vision Transformer (PVT): Achitecture; 16: Spatial-Reduction Attention (SRA): Keep Q, Reduce K and V",2: Data-efficient Image Transformer (DeiT) (68 words); 3: Improving ViT: Distillation (67 words),,,2 potentially under-explained slide(s)
10,VIT,3,Swin Transformer Hierarchy and Shifted Windows,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\10\10_3_Swin_Transformer_Hierarchy_and_Shifted_Windows_exact_script.md,23,20.6,20.6,3682,28.3,26.3,24.5,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,2: Swin Transformer: Hierarchical ViT; 3: CNNs Use Hierarchical Feature Maps; 4: ViT Uses an Isotropic Architecture; 5: Can We Build a Hierarchical Vision Transformer?; 6: Swin Stage 1: Patch Partition and Embedding; 7: Swin Stage 2: First Patch Merging Step; 8: Feature Map Layout After Patch Embedding; 9: Patch Merging by Concatenating Neighboring Tokens; 10: Projecting Merged Tokens to Fewer Channels; 11: Building a Multi-Stage Hierarchy in Swin; 12: From Fine Patches to Coarser Visual Tokens; 13: Why Full Attention Is Too Expensive in Swin; 14: Window-Based Attention as the Efficient Alternative; 15: Restricting Attention to Local Windows; 16: Why Window Attention Scales Better; 17: Limitation of Window Attention Problem: tokens only interact with other tokens within the same window; no communication across windows; 18: Swin Transformer: Shifted Window Attention Solution: Alternate between normal windows and shifted windows in successive Transformer blocks; 19: Swin Transformer: Shifted Window Attention; 20: Swin Transformer: Shifted Window Attention; 21: Swin Transformer: Shifted Window Attention,,,,Looks like direct read-aloud narration with only minor polish needed.
10,VIT,4,Vision Transformer Extensions and Multimodal Models,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\10\10_4_Vision_Transformer_Extensions_and_Multimodal_Models_exact_script.md,15,12.5,12.5,2022,15.6,14.4,13.5,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,2: Comparing Early Vision Transformer Variants; 3: Where Did Vision Transformers Improve Most?; 4: Twins: Spatial Attention Design; 5: Segmenter: Transformer for Semantic Segmentation; 6: Segmenter Architecture; 7: Masked Autoencoders (MAE); 8: Self-Supervised Vision: DINO / iBOT; 10: DINO: self-DIstillation with NO labels; 11: CLIP and Multimodal Transformers; 12: CLIP Architecture; 13: What Happened Next? (2023-2024),10: DINO: self-DIstillation with NO labels (69 words),,,1 potentially under-explained slide(s)
10,VIT,5,Vision Transformer Summary and Backup,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\10\10_5_Vision_Transformer_Summary_and_Backup_exact_script.md,8,5.7,5.7,1247,9.6,8.9,8.3,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,2: Summary: How Vision Transformers Evolved; 5: ViT Input: Patches Instead of Pixels; 6: Standard Transformer on Patches,,,,Looks like direct read-aloud narration with only minor polish needed.
