"lecture_number","lecture_title","concept_start_slide","concept_end_slide","concept_group","end_slide_title","next_concept","boundary_strength","why_strong_boundary_is_natural"
"1","CNN","2","7","MLP and neural network refresher","Neural Network Playground","Image data motivation","strong","Slides 2-7 complete the conceptual unit 'MLP and neural network refresher' before the lecture shifts to 'Image data motivation'. Stopping after slide 7 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","8","13","Image datasets and CNN motivation","AlexNet on One GPU","Convolution operation","strong","Slides 8-13 complete the model architecture explanation 'Image datasets and CNN motivation' before the lecture shifts to 'Convolution operation'. Stopping after slide 13 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","14","21","Convolution fundamentals","Convolution Output Size","Classical image filters","strong","Slides 14-21 complete the conceptual unit 'Convolution fundamentals' before the lecture shifts to 'Classical image filters'. Stopping after slide 21 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","22","33","Classical filters padding and kernel mechanics","Convolution Animation with Two 4x4 Kernels","Multichannel convolution","strong","Slides 22-33 complete the conceptual unit 'Classical filters padding and kernel mechanics' before the lecture shifts to 'Multichannel convolution'. Stopping after slide 33 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","34","41","Multichannel and multilayer convolution","Multiple Layers of Convolution","CNN inductive bias","strong","Slides 34-41 complete the conceptual unit 'Multichannel and multilayer convolution' before the lecture shifts to 'CNN inductive bias'. Stopping after slide 41 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","46","48","Pooling and spatial reduction","Pooling: Max vs Average","AlexNet architecture","strong","Slides 46-48 complete the comparison or tradeoff 'Pooling and spatial reduction' before the lecture shifts to 'AlexNet architecture'. Stopping after slide 48 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","49","51","AlexNet architecture and implementation","AlexNet Keras Implementation","CNN summary","strong","Slides 49-51 complete the model architecture explanation 'AlexNet architecture and implementation' before the lecture shifts to 'CNN summary'. Stopping after slide 51 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"1","CNN","52","52","CNN summary","Summary: Convolutional Neural Networks","Next lecture on evaluation metrics","strong","Slides 52-52 close the lecture by completing the summary or closure 'CNN summary'. There is no required follow-on concept, so this is a clean video ending and a good place for recap or quiz."
"2","Metrics","1","2","Evaluation motivation","Why Evaluation Metrics Matter","Binary decision framing","strong","Slides 1-2 complete the comparison or tradeoff 'Evaluation motivation' before the lecture shifts to 'Binary decision framing'. Stopping after slide 2 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
"2","Metrics","3","6","Binary decisions and confusion matrix","Confusion Matrix at Threshold 0.5","Basic metrics","strong","Slides 3-6 complete the conceptual unit 'Binary decisions and confusion matrix' before the lecture shifts to 'Basic metrics'. Stopping after slide 6 keeps the full explanation intact and avoids splitting a derivation, algorithm, worked example, architecture explanation, or necessary comparison."
