lecture_number,lecture_title,slide_number,slide_title,core_concept,slide_role,concept_group,prerequisite_concept,next_concept,estimated_teaching_minutes,logical_boundary_after_slide,boundary_strength,boundary_reason,notes_for_future_script
6,Segmentation,1,Semantic Segmentation From Classification to Pixel-Level Prediction,Semantic Segmentation From Classification to Pixel-Level Prediction,definition,Semantic segmentation task definition,Image classification,What is Semantic Segmentation?,1.0,no,weak,Continue through the current concept group 'Semantic segmentation task definition'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
6,Segmentation,2,What is Semantic Segmentation?,What is Semantic Segmentation?,definition,Semantic segmentation task definition,Semantic Segmentation From Classification to Pixel-Level Prediction,Fully convolutional motivation,1.0,yes,strong,"Completes the concept group 'Semantic segmentation task definition' and the next slide begins 'Fully convolutional motivation'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",State the key definition carefully and connect it to the previous slide. Add a brief recap or checkpoint here before moving on.
6,Segmentation,3,Why Sliding Windows Fail?,Why Sliding Windows Fail?,motivation,Why sliding windows fail and FCN motivation,Pixel-level prediction goal,Better Approach,0.9,no,weak,Continue through the current concept group 'Why sliding windows fail and FCN motivation'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
6,Segmentation,4,Better Approach,Better Approach,motivation,Why sliding windows fail and FCN motivation,Why Sliding Windows Fail?,Fully Convolutional Inference,0.9,no,weak,Continue through the current concept group 'Why sliding windows fail and FCN motivation'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
6,Segmentation,5,Fully Convolutional Inference,Fully Convolutional Inference,motivation,Why sliding windows fail and FCN motivation,Better Approach,From Image Classification to Semantic Segmentation,0.9,no,weak,Continue through the current concept group 'Why sliding windows fail and FCN motivation'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
6,Segmentation,6,From Image Classification to Semantic Segmentation,From Image Classification to Semantic Segmentation,motivation,Why sliding windows fail and FCN motivation,Fully Convolutional Inference,Fully convolutional networks,0.9,yes,strong,"Completes the concept group 'Why sliding windows fail and FCN motivation' and the next slide begins 'Fully convolutional networks'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Use this slide to establish why the topic matters before adding formal detail. Add a brief recap or checkpoint here before moving on.
6,Segmentation,7,Becoming fully convolutional,Becoming fully convolutional,definition,Fully convolutional network conversion,Classification CNNs,Becoming fully convolutional,1.0,no,weak,Continue through the current concept group 'Fully convolutional network conversion'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
6,Segmentation,8,Becoming fully convolutional,Becoming fully convolutional,definition,Fully convolutional network conversion,Becoming fully convolutional,Upsampling output,1.0,no,weak,Continue through the current concept group 'Fully convolutional network conversion'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
6,Segmentation,9,Upsampling output,Upsampling output,definition,Fully convolutional network conversion,Becoming fully convolutional,"End-to-end, pixels-to-pixels network",1.0,no,weak,Continue through the current concept group 'Fully convolutional network conversion'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
6,Segmentation,10,"End-to-end, pixels-to-pixels network","End-to-end, pixels-to-pixels network",definition,Fully convolutional network conversion,Upsampling output,"end-to-end, pixels-to-pixels network",1.0,no,weak,Continue through the current concept group 'Fully convolutional network conversion'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
